nome_imovel,cnpj_fundo,latitude,longitude
Via Parque Shopping,00.332.266/0001-31,-22.9827365,-43.360893
CTI,00.762.723/0001-28,-23.5262814,-46.7449527
Hotel,00.868.235/0001-08,-30.0326295,-51.1780903
Grand Plaza Shopping,01.201.140/0001-90,-23.6467785,-46.53386460000001
Marechal Camara,01.235.622/0001-61,-22.9091988,-43.1694987
Fusion,01.235.622/0001-61,-15.8057626,-48.0842616
Riserva,01.235.622/0001-61,-20.2959489,-40.2962979
Barão de Mesquita,01.235.622/0001-61,-22.9242419,-43.2425056
Senhor dos Passos,01.235.622/0001-61,-22.9070828,-43.18191480000001
Visison,01.235.622/0001-61,-15.8057626,-48.0842616
Golden Corporate,01.235.622/0001-61,-22.9038603,-43.1814608
Visconde de Pirajá,01.235.622/0001-61,-22.9842394,-43.2049773
Largo de Santa Rita,01.235.622/0001-61,-22.9002271,-43.1809637
Due Murano,01.235.622/0001-61,-15.7524981,-47.9128527
Rio Branco 255/257,01.235.622/0001-61,-22.9063832,-43.1771761
"Uruguaiana, 78",01.235.622/0001-61,-22.9048588,-43.1794818
Primeiro de Março,01.235.622/0001-61,-22.9013187,-43.1764795
Miguel Couto,01.235.622/0001-61,-22.9013519,-43.1801855
Due Capri,01.235.622/0001-61,-15.7524981,-47.9128527
Innovitá,01.235.622/0001-61,-22.915062,-43.2136941
Panorama,01.235.622/0001-61,-22.9070828,-43.18191480000001
Metropolitan,01.235.622/0001-61,-12.983733,-38.453738
"Uruguaiana, 76",01.235.622/0001-61,-22.9048752,-43.1794376
Seasons,01.235.622/0001-61,-22.9620681,-43.3969399
Sete de Setembro,01.235.622/0001-61,-22.9054333,-43.1784447
Gift,01.235.622/0001-61,-22.910676,-43.2416126
Rio Branco 45,01.235.622/0001-61,-22.9063832,-43.1771761
Av. Mem de sá,01.235.622/0001-61,-22.912313,-43.1861477
Le Quartier,01.235.622/0001-61,-15.8057626,-48.0842616
Estoque Diversos,01.235.622/0001-61,-20.2806895,-40.2902141
Citta America,01.235.622/0001-61,-23.0027005,-43.32177
Dom Gerado 46,01.235.622/0001-61,-22.8979587,-43.1789051
CESBOM,01.235.622/0001-61,-19.7397781,-45.2536209
Cardeal Leme,01.235.622/0001-61,-22.9170513,-43.1890709
Carioca,01.235.622/0001-61,-22.9066492,-43.1804136
Visconde de Inhaúma,01.235.622/0001-61,-22.8996218,-43.1787255
Toscanini,01.235.622/0001-61,-19.9405907,-43.939843
Allegro,01.235.622/0001-61,-20.2743371,-40.2832916
"Conde de Bonfim,149",01.235.622/0001-61,-22.9320902,-43.2401161
Travessa do Ouvidor,01.235.622/0001-61,-22.9045434,-43.1769981
Estoque Diversos - Rio de Janeiro,01.235.622/0001-61,-23.0076325,-43.3280064
Conjunto Voluntários,01.497.954/0001-14,-30.0274454,-51.2261083
Prédio Dom Pedro,01.497.954/0001-14,-30.0170041,-51.1868499
Edifício Mostardeiro,01.497.954/0001-14,-30.0283095,-51.2040544
Prédio Carlos Gomes,01.497.954/0001-14,-30.0233097,-51.1844392
Prédio Carlos Gomes,01.497.954/0001-14,-30.02770809999999,-51.1820537
Praça Montivideo,01.497.954/0001-14,-30.0288917,-51.2285713
Edifício Rio Guaiba,01.497.954/0001-14,-30.02571549999999,-51.2259126
Eusébio Matoso,01.601.918/0001-59,-23.5721919,-46.6988065
Joaquim Floriano,01.601.918/0001-59,-23.5852933,-46.6768574
Dantas Barreto,01.601.918/0001-59,-8.064806899999999,-34.8783218
Edificio Memorial Office Building,01.633.741/0001-72,-23.5260553,-46.671063
Moinhos Shopping,01.636.325/0001-28,-30.02331,-51.2011118
Shopping Center Piedade,01.657.856/0001-05,-12.9834609,-38.5130754
Ed Brasílio Machado,02.027.437/0001-44,-23.6032681,-46.6748117
Contagem,02.508.235/0001-14,-21.1083947,-45.83058620000001
Edifício New York e Los Angeles,03.251.720/0001-18,-23.5257421,-46.6770879
Shopping Patio Higienópolis,03.507.519/0001-59,-23.5412224,-46.6571399
CETENCO PLAZA,03.683.056/0001-86,-23.5595883,-46.658066
NEW CENTURY,03.683.056/0001-86,-23.5882415,-46.680574
PARQUE PAULISTA,03.683.056/0001-86,-23.5602437,-46.6592401
JK FINANCIAL CENTER,03.683.056/0001-86,-23.5872061,-46.6751363
PQ CULTURAL PAULISTA,03.683.056/0001-86,-23.5710635,-46.6451532
CANDELÁRIA CORPORATE,03.683.056/0001-86,-22.899558,-43.17782829999999
INTERNACIONAL RIO,03.683.056/0001-86,-22.9300108,-43.1746647
JATOBÁ,03.683.056/0001-86,-23.6016085,-46.69262459999999
Laboratório de Fluidos,03.855.441/0001-63,-22.4069831,-41.8678315
Hospital da Criança,04.066.582/0001-60,-23.6436827,-46.6429168
ED. CONTINENTAL SQUARE FARIA LIMA,04.141.645/0001-03,-23.5958083,-46.6844974
Centro Empresarial Nações Unidas,04.722.883/0001-02,-23.6103668,-46.6966448
Condominio Perini Business Park,04.782.236/0001-88,-26.2424317,-48.8846487
Centro de Distribuição Anhanguera - CDA,05.437.916/0001-27,-21.8140101,-47.4979859
Centro de Distribuição -Rio de Janeiro,05.437.916/0001-27,-22.8374191,-43.2606013
Torre de Elevadores - Interlagos - SP,05.437.916/0001-27,-23.7053383,-46.7023725
Edifício Almirante Barroso,05.562.312/0001-02,-22.9078288,-43.177269
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
Edifício Ourinvest,06.175.262/0001-73,-23.5604978,-46.6569653
CARJ,07.000.400/0001-46,-22.9225633,-43.2501867
SEDE I,07.000.400/0001-46,-15.8031874,-47.8837315
Edificio Torre Almirante,07.122.725/0001-00,-22.9073165,-43.1752511
Parque Dom Pedro Shopping,07.224.019/0001-60,-22.8492355,-47.06209399999999
Rodoshopping Fernão Dias,07.352.632/0001-63,-23.490927,-46.5656024
Montese,07.583.627/0001-61,-3.7557831,-38.5391771
Morro Grande,07.583.627/0001-61,-23.4761094,-46.7032924
Sócrates,07.583.627/0001-61,-23.6557367,-46.69188949999999
Cardoso de Almeida,07.583.627/0001-61,-23.5352824,-46.6665545
Campinas ,07.583.627/0001-61,-22.9263404,-47.0397549
Aeroporto,07.583.627/0001-61,-23.6286463,-46.6676672
Lavandisca,07.583.627/0001-61,-23.6003466,-46.6667877
Jardim Paulistano,07.583.627/0001-61,-23.5717212,-46.6811898
Sudoeste - Brasília,07.583.627/0001-61,-21.4202843,-50.0814465
Pacaembu,07.583.627/0001-61,-23.5465156,-46.6689467
Belo Horizonte (Minas Shopping),07.583.627/0001-61,-19.8746192,-43.9261961
Teodoro Sampaio,07.583.627/0001-61,-23.5636703,-46.68732079999999
Cerro Corá,07.583.627/0001-61,-23.5346858,-46.7129314
Curuçá,07.583.627/0001-61,-23.5143842,-46.5890447
Ricardo Jafet,07.583.627/0001-61,-23.5890009,-46.6185051
Araçatuba,07.583.627/0001-61,-19.793023,-43.9336069
Taboão da Serra,07.583.627/0001-61,-23.610077,-46.753223
Granja Viana,07.583.627/0001-61,-23.5927161,-46.8338456
Santos,07.583.627/0001-61,-23.9588428,-46.3322994
Taguatinga,07.583.627/0001-61,-15.8098397,-48.0640461
Edgar Facó,07.583.627/0001-61,-23.5003499,-46.70621329999999
Carapicuíba,07.583.627/0001-61,-23.5532682,-46.8358041
Aflitos,07.583.627/0001-61,-8.0463319,-34.8964676
Rótula,07.583.627/0001-61,-12.9705787,-38.4812141
Recife,07.583.627/0001-61,-8.104654800000002,-34.88983340000001
Nova Cantareira,07.583.627/0001-61,-23.4880609,-46.6219806
Anchieta,07.583.627/0001-61,14.9585183,-24.4566923
Portal,07.583.627/0001-61,-23.616402,-46.7397648
Penha,07.583.627/0001-61,-23.5156348,-46.5198496
Pedroso,07.583.627/0001-61,-23.5629008,-46.6410438
Campo Grande,07.583.627/0001-61,-20.4562058,-54.6077132
Goiânia,07.583.627/0001-61,39.39987199999999,-8.224454
Jaguaré,07.583.627/0001-61,-23.5568746,-46.7483593
Morumbi,07.583.627/0001-61,-23.5861238,-46.72206800000001
Freguesia do Ó,07.583.627/0001-61,-23.5048034,-46.68929079999999
São Caetano,07.583.627/0001-61,-23.6164612,-46.5716854
João Dias,07.583.627/0001-61,-23.6470391,-46.7290731
Anhanguera,07.583.627/0001-61,-23.5171985,-46.7265643
Curitiba,07.583.627/0001-61,-23.6214632,-46.5563457
Dourados,07.583.627/0001-61,-22.2251646,-54.7982455
Santo André,07.583.627/0001-61,-23.6521428,-46.5258624
Vasco da Gama,07.583.627/0001-61,-12.9992537,-38.4884406
Champagnat,07.583.627/0001-61,-25.433288,-49.2981656
Belvedere,07.583.627/0001-61,-19.9743797,-43.9480495
Guarani,07.583.627/0001-61,-23.5816196,-46.5367733
Jabaquara ,07.583.627/0001-61,-23.6461989,-46.6409731
Sorocaba,07.583.627/0001-61,-23.4903187,-47.4449032
Guaianazes,07.583.627/0001-61,-23.5418409,-46.42388529999999
Alphaville,07.583.627/0001-61,-23.4947656,-46.850188
Pedreira,07.583.627/0001-61,-23.9475887,-46.3354092
Brasília Norte,07.583.627/0001-61,51.8860181,0.2388661
Paralela,07.583.627/0001-61,-12.9366359,-38.36085569999999
Amoreiras ,07.583.627/0001-61,-22.9447652,-47.1094146
CVS - CENTER VALE SHOPPING,07.789.135/0001-27,-23.200802,-45.8804556
BPS - BOTAFOGO PRAIA SHOPPING,07.789.135/0001-27,-22.947461,-43.1834672
CNB - CONJUNTO NACIONAL BRASILIA,07.789.135/0001-27,-15.7922244,-47.8835633
Hospital e Maternidade,08.014.513/0001-63,-23.6434062,-46.6431702
REC - Loja de Rua Centro,08.098.114/0001-28,-8.059664699999999,-34.8854481
SLZ - Loja de Rua Centro,08.098.114/0001-28,-2.5202593,-44.2696266
MCO-Shopp.Center Iguatemi,08.098.114/0001-28,-9.6273485,-35.698853
ABC - Shopping ABC,08.098.114/0001-28,-23.6677966,-46.53356360000001
BHD - Shopp.Del Rey,08.098.114/0001-28,-19.8907155,-43.9678135
BHM - Minas Shopping,08.098.114/0001-28,-19.8736522,-43.9272745
