nome_fundo,nome_imovel,cnpj_fundo,latitude,longitude
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,Via Parque Shopping,00.332.266/0001-31,-22.9827365,-43.360893
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,CTI,00.762.723/0001-28,-23.5262814,-46.7449527
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,Hotel,00.868.235/0001-08,-30.0326295,-51.1780903
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,Grand Plaza Shopping,01.201.140/0001-90,-23.6467785,-46.53386460000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Marechal Camara,01.235.622/0001-61,-22.9091988,-43.1694987
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Fusion,01.235.622/0001-61,-15.8057626,-48.0842616
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Riserva,01.235.622/0001-61,-20.2959489,-40.2962979
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Barão de Mesquita,01.235.622/0001-61,-22.9242419,-43.2425056
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Senhor dos Passos,01.235.622/0001-61,-22.9070828,-43.18191480000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Visison,01.235.622/0001-61,-15.8057626,-48.0842616
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Golden Corporate,01.235.622/0001-61,-22.9038603,-43.1814608
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Visconde de Pirajá,01.235.622/0001-61,-22.9842394,-43.2049773
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Largo de Santa Rita,01.235.622/0001-61,-22.9002271,-43.1809637
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Due Murano,01.235.622/0001-61,-15.7524981,-47.9128527
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Rio Branco 255/257,01.235.622/0001-61,-22.9063832,-43.1771761
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 78",01.235.622/0001-61,-22.9048588,-43.1794818
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Primeiro de Março,01.235.622/0001-61,-22.9013187,-43.1764795
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Miguel Couto,01.235.622/0001-61,-22.9013519,-43.1801855
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Due Capri,01.235.622/0001-61,-15.7524981,-47.9128527
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Innovitá,01.235.622/0001-61,-22.915062,-43.2136941
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Panorama,01.235.622/0001-61,-22.9070828,-43.18191480000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Metropolitan,01.235.622/0001-61,-12.983733,-38.453738
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 76",01.235.622/0001-61,-22.9048752,-43.1794376
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Seasons,01.235.622/0001-61,-22.9620681,-43.3969399
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Sete de Setembro,01.235.622/0001-61,-22.9054333,-43.1784447
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Gift,01.235.622/0001-61,-22.910676,-43.2416126
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Rio Branco 45,01.235.622/0001-61,-22.9063832,-43.1771761
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Av. Mem de sá,01.235.622/0001-61,-22.912313,-43.1861477
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Le Quartier,01.235.622/0001-61,-15.8057626,-48.0842616
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Estoque Diversos,01.235.622/0001-61,-20.2806895,-40.2902141
