CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2017-01-01;1;2017-01-31;28;;;;;;;;;;;;;;;;462280400.92;461180188.33;2584398;178.447819697276;0.000125;0;0.005176;-0.000208;0.005384;0
00.332.266/0001-31;2017-02-01;1;2017-02-28;28;;;;;;;;;;;;;;;;463190627.39;462312926.23;2584398;178.886118248815;0.000124;0;0.004841;0.002456;0.002385;0
00.332.266/0001-31;2017-03-01;1;2017-03-31;28;22;2;0;0;0;1;0;1;0;0;0;1;0;0;1;464579516.63;463723584.23;2584398;179.431954455157;0.000124;0;0.005214;0.003051;0.002163;0
00.332.266/0001-31;2017-04-01;1;2017-04-30;28;;;;;;;;;;;;;;;;463337940.92;462252795.57;2584398;178.86285145322;0.000124;0;0.002435;-0.003172;0.005607;0
00.332.266/0001-31;2017-05-01;1;2017-05-31;28;;;;;;;;;;;;;;;;463574789.93;462373510.78;2584398;178.909560671383;0.000124;0;0.006751;0.000261;0.00649;0
00.332.266/0001-31;2017-06-01;1;2017-06-30;33;27;2;0;0;0;1;0;1;0;0;0;1;0;0;1;464333938.11;462661960.96;2597475;178.11988987767;0.000124;0;0.011271;0.000624;0.010647;0
00.332.266/0001-31;2017-07-01;1;2017-07-31;50;;;;;;;;;;;;;;;;465876794.64;464753188.3;2616154;177.647488756396;0.000124;0;0.010954;0.00452;0.006434;0
00.332.266/0001-31;2017-08-01;1;2017-08-31;62;;;;;;;;;;;;;;;;466730925.07;465849828.2;2616154;178.066668934627;0.000124;0;0.008184;0.00236;0.005824;0
00.332.266/0001-31;2017-09-01;1;2017-09-30;61;55;2;0;0;0;1;0;1;0;0;0;1;0;0;1;469443222.89;468743029.76;2628607;178.3237394407;0.000123;0;0.009216;0.006211;0.003005;0
00.332.266/0001-31;2017-10-01;1;2017-10-30;61;;;;;;;;;;;;;;;;471559026.73;470977138.2;2637947;178.539272472116;0.000122;0;0.007549;0.004766;0.002783;0
