CNPJ_Fundo;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;12836.20693;758199.25
00.332.266/0001-31;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;153683.58822;9077664.76
00.332.266/0001-31;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;55484.7;3380291.48
00.332.266/0001-31;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;182791.46;11136194.85
00.762.723/0001-28;2023-03-31;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;37900.58;2238682.64
00.762.723/0001-28;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;58496.34;3563769.77
00.868.235/0001-08;2023-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;5592.49;330332.74
00.868.235/0001-08;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;25242.71;1537860.4
01.201.140/0001-90;2023-03-31;2;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;73558.12;7111317.65
01.201.140/0001-90;2023-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;104744.30804;6381332.22
01.235.622/0001-61;2023-03-31;2;FII;OPPORTUNITY BALASSIANO FII- B;42273290000197;;;;;;71436.04;83395414.98
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;Taquari - Brasília;1235622000161;;;;;;82945;126720599.28
01.235.622/0001-61;2023-03-31;2;FII;Dovel FII;10522648000181;;;;;;51145.01;61371572.76
01.235.622/0001-61;2023-03-31;2;FII;BRIX FII- SÊNIOR;35360651000177;;;;;;12309.01;17320264.38
01.235.622/0001-61;2023-03-31;2;FII;OPPORTUNITY BALASSIANO FII- A;42273290000197;;;;;;1063;1084443.89
01.235.622/0001-61;2023-03-31;2;FII;OPPORTUNITY BALASSIANO FII- C;42273290000197;;;;;;9502.68;1448967.06
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1273170.81
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;284601252;734096.05
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;81238063.89
01.235.622/0001-61;2023-03-31;2;FII;BRIX FII;35360651000177;;;;;;10141.83;3954520.29
01.235.622/0001-61;2023-03-31;2;FII;Dovel FII- DOVL11B;10522648000181;;;;;;4775;5729772.55
01.235.622/0001-61;2023-03-31;2;Ações de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;61513174;39991083.1
