nome_fundo,nome_imovel,cnpj_fundo,quantidade_cotas_emitidas,nome_administradores,segmento_atuacao,latitude,longitude
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,Via Parque Shopping,00.332.266/0001-31,2800149.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-22.9827365,-43.360893
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,CTI,00.762.723/0001-28,2594279.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Lajes Corporativas,-23.5262814,-46.7449527
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,Hotel,00.868.235/0001-08,54316.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Híbrido,-30.0326295,-51.1780903
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,Grand Plaza Shopping,01.201.140/0001-90,12203833.0,RO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-23.6467785,-46.53386460000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Cardeal Leme,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.9002055,-43.1797109
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,CESBOM,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-19.7397781,-45.2536209
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Dom Gerado 46,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.8979587,-43.1789051
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 78",01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.9048588,-43.1794818
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Golden Corporate,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.9038603,-43.1814608
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Sete de Setembro,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.9054333,-43.1784447
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Teofilo Otoni 24,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.8997019,-43.1774595
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Itabira,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-19.6226508,-43.2260849
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Av. Mem de Sá,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.9128601,-43.1825072
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"AV. Brasil, 20384",01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.8323936,-43.3550115
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Rainha Guilhermina,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.9860589,-43.2264158
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Marechal Camara,01.235.622/0001-61,876521.0,BRL TRUST DTVM S.A.,Híbrido,-22.9091988,-43.1694987
