CNPJ_Fundo,Data_Referencia_trim,Versao_trim,Tipo,Emissor,CNPJ_Emissor,Emissao,Serie,Codigo_Acao,Nome_Ativo,Data_Vencimento,Quantidade,Valor,Data_Referencia_mensal,Versao_mensal,Data_Informacao_Numero_Cotistas,Total_Numero_Cotistas,Numero_Cotistas_Pessoa_Fisica,Numero_Cotistas_Pessoa_Juridica_Nao_Financeira,Numero_Cotistas_Banco_Comercial,Numero_Cotistas_Corretora_Distribuidora,Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira,Numero_Cotistas_Investidores_Nao_Residentes,Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar,Numero_Cotistas_Entidade_Fechada_Previdência_Complementar,Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos,Numero_Cotistas_Sociedade_Seguradora_Resseguradora,Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil,Numero_Cotistas_FII,Numero_Cotistas_Outros_Fundos,Numero_Cotistas_Distribuidores_Fundo,Numero_Cotistas_Outros_Tipos,Valor_Ativo,Patrimonio_Liquido,Cotas_Emitidas,Valor_Patrimonial_Cotas,Percentual_Despesas_Taxa_Administracao,Percentual_Despesas_Agente_Custodiante,Percentual_Rentabilidade_Efetiva_Mes,Percentual_Rentabilidade_Patrimonial_Mes,Percentual_Dividend_Yield_Mes,Percentual_Amortizacao_Cotas_Mes,P/VPA
01235622000161,2017-12,2,FII,Dovel FII,10522648000181,,,,,,44250.0,55458694.48,2017-12,2,2017-12-29,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2122946003.37,2030318722.62,692257.0,2932.89735260171,0.00409,3e-06,-0.0195,-0.0195,0.0,0.0,0.9999999999999991
01235622000161,2017-12,2,FII,Dovel FII,10522648000181,,,,,,44250.0,55458694.48,2017-11,2,2017-11-30,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2032092459.59,1991522477.53,692257.0,2876.85422831405,0.000431,3e-06,-0.0322,-0.0322,0.0,0.0,1.0000000000000004
01235622000161,2017-12,2,FII,Dovel FII,10522648000181,,,,,,44250.0,55458694.48,2017-10,2,2017-10-31,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2097979740.27,2057707915.55,692257.0,2972.46241720922,0.000415,3e-06,0.0043,0.0043,0.0,0.0,0.9999999999999984
01235622000161,2017-12,2,FII,BB Progressivo II FII,14410722000129,,,,,,187305.0,26956935.6,2017-12,2,2017-12-29,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2122946003.37,2030318722.62,692257.0,2932.89735260171,0.00409,3e-06,-0.0195,-0.0195,0.0,0.0,0.9999999999999991
01235622000161,2017-12,2,FII,BB Progressivo II FII,14410722000129,,,,,,187305.0,26956935.6,2017-11,2,2017-11-30,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2032092459.59,1991522477.53,692257.0,2876.85422831405,0.000431,3e-06,-0.0322,-0.0322,0.0,0.0,1.0000000000000004
01235622000161,2017-12,2,FII,BB Progressivo II FII,14410722000129,,,,,,187305.0,26956935.6,2017-10,2,2017-10-31,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2097979740.27,2057707915.55,692257.0,2972.46241720922,0.000415,3e-06,0.0043,0.0043,0.0,0.0,0.9999999999999984
01235622000161,2017-12,2,FII,GENERAL SEVERIANO FII,17007528000195,,,,,,815.2656,1249982.33,2017-12,2,2017-12-29,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2122946003.37,2030318722.62,692257.0,2932.89735260171,0.00409,3e-06,-0.0195,-0.0195,0.0,0.0,0.9999999999999991
01235622000161,2017-12,2,FII,GENERAL SEVERIANO FII,17007528000195,,,,,,815.2656,1249982.33,2017-11,2,2017-11-30,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2032092459.59,1991522477.53,692257.0,2876.85422831405,0.000431,3e-06,-0.0322,-0.0322,0.0,0.0,1.0000000000000004
01235622000161,2017-12,2,FII,GENERAL SEVERIANO FII,17007528000195,,,,,,815.2656,1249982.33,2017-10,2,2017-10-31,52.0,37.0,,,,,,,,,,,,1.0,14.0,,2097979740.27,2057707915.55,692257.0,2972.46241720922,0.000415,3e-06,0.0043,0.0043,0.0,0.0,0.9999999999999984
07583627000161,2017-12,1,FII,Não Aplicavel,0,,,,,,0.0,0.0,2017-12,2,2017-12-31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2995593724.29,1723611901.58,224952.0,7662.1319285003,0.000107,0.0,-0.088372,-0.088372,0.0,0.0,1.0000000000000002
